Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
AT&T - Price: 45760.000000     Price change: 1.489997% 
Day 618: 
ExxonMobil - Price: 33034.886719     Price change: 1.799998% 
Shermin-Williams - Price: 41145.539062     Price change: 2.479998% 
Boeing - Price: 12203.411133     Price change: -0.829998% 
Duke Energy - Price: 30538.667969     Price change: 2.149999% 
UnitedHealth Group - Price: 42976.859375     Price change: 1.109997% 
JPMorgan Chase - Price: 27816.773438     Price change: 0.100000% 
McDonalds - Price: 61044.371094     Price change: 2.000001% 
Coca-Cola - Price: 45002.972656     Price change: 0.640000% 
Microsoft - Price: 28646.644531     Price change: -0.020000% 
AT&T - Price: 50075.167969     Price change: 9.430000% 
Day 619: 
ExxonMobil - Price: 33682.371094     Price change: 1.960002% 
Shermin-Williams - Price: 40857.519531     Price change: -0.700002% 
Boeing - Price: 12132.631836     Price change: -0.579996% 
Duke Energy - Price: 31097.525391     Price change: 1.829999% 
UnitedHealth Group - Price: 43101.492188     Price change: 0.290000% 
JPMorgan Chase - Price: 27966.984375     Price change: 0.540001% 
McDonalds - Price: 61080.996094     Price change: 0.059997% 
Coca-Cola - Price: 45367.496094     Price change: 0.809999% 
Microsoft - Price: 28649.509766     Price change: 0.010002% 
AT&T - Price: 51146.777344     Price change: 2.140002% 
Day 620: 
ExxonMobil - Price: 34244.867188     Price change: 1.670001% 
Shermin-Williams - Price: 41629.726562     Price change: 1.890000% 
Boeing - Price: 12571.833008     Price change: 3.619999% 
Duke Energy - Price: 31619.962891     Price change: 1.679997% 
UnitedHealth Group - Price: 44045.414062     Price change: 2.189998% 
JPMorgan Chase - Price: 28406.066406     Price change: 1.570001% 
McDonalds - Price: 60677.863281     Price change: -0.659997% 
Coca-Cola - Price: 45798.488281     Price change: 0.950002% 
Microsoft - Price: 29841.330078     Price change: 4.160002% 
AT&T - Price: 51325.792969     Price change: 0.350004% 
Day 621: 
ExxonMobil - Price: 35484.531250     Price change: 3.620000% 
Shermin-Williams - Price: 41871.179688     Price change: 0.580002% 
Boeing - Price: 13254.483398     Price change: 5.429999% 
Duke Energy - Price: 31759.089844     Price change: 0.439997% 
UnitedHealth Group - Price: 43992.558594     Price change: -0.120002% 
JPMorgan Chase - Price: 28295.283203     Price change: -0.389998% 
McDonalds - Price: 61490.945312     Price change: 1.339998% 
Coca-Cola - Price: 46833.535156     Price change: 2.260002% 
Microsoft - Price: 29265.392578     Price change: -1.929999% 
AT&T - Price: 51905.773438     Price change: 1.129998% 
Day 622: 
ExxonMobil - Price: 35520.015625     Price change: 0.100000% 
Shermin-Williams - Price: 42696.042969     Price change: 1.970002% 
Boeing - Price: 13266.412109     Price change: 0.089998% 
Duke Energy - Price: 31835.312500     Price change: 0.240003% 
UnitedHealth Group - Price: 45413.519531     Price change: 3.230003% 
JPMorgan Chase - Price: 29356.355469     Price change: 3.749997% 
McDonalds - Price: 62745.359375     Price change: 2.039998% 
Coca-Cola - Price: 47329.968750     Price change: 1.059996% 
Microsoft - Price: 29490.736328     Price change: 0.770001% 
AT&T - Price: 53167.082031     Price change: 2.429997% 
Day 623: 
ExxonMobil - Price: 35562.640625     Price change: 0.120003% 
Shermin-Williams - Price: 43874.453125     Price change: 2.759999% 
Boeing - Price: 13610.011719     Price change: 2.589997% 
Duke Energy - Price: 31984.937500     Price change: 0.469997% 
UnitedHealth Group - Price: 45636.046875     Price change: 0.490002% 
JPMorgan Chase - Price: 29206.638672     Price change: -0.509998% 
McDonalds - Price: 63893.597656     Price change: 1.829997% 
Coca-Cola - Price: 47363.101562     Price change: 0.070004% 
Microsoft - Price: 29608.699219     Price change: 0.400000% 
AT&T - Price: 53815.718750     Price change: 1.219997% 
Day 624: 
ExxonMobil - Price: 35896.929688     Price change: 0.940001% 
Shermin-Williams - Price: 44545.730469     Price change: 1.529996% 
Boeing - Price: 13724.335938     Price change: 0.840001% 
Duke Energy - Price: 32295.191406     Price change: 0.970000% 
UnitedHealth Group - Price: 45699.937500     Price change: 0.140000% 
JPMorgan Chase - Price: 30033.187500     Price change: 2.830003% 
McDonalds - Price: 64213.066406     Price change: 0.500001% 
Coca-Cola - Price: 47481.507812     Price change: 0.249997% 
Microsoft - Price: 29946.238281     Price change: 1.140000% 
AT&T - Price: 53987.929688     Price change: 0.320001% 
Day 625: 
ExxonMobil - Price: 36202.054688     Price change: 0.850003% 
Shermin-Williams - Price: 45556.917969     Price change: 2.269999% 
Boeing - Price: 13698.259766     Price change: -0.190000% 
Duke Energy - Price: 33793.687500     Price change: 4.639998% 
UnitedHealth Group - Price: 46019.835938     Price change: 0.699998% 
JPMorgan Chase - Price: 30597.810547     Price change: 1.879997% 
McDonalds - Price: 65401.007812     Price change: 1.849999% 
Coca-Cola - Price: 46603.101562     Price change: -1.849997% 
Microsoft - Price: 30263.667969     Price change: 1.059999% 
AT&T - Price: 54452.226562     Price change: 0.860001% 
Day 626: 
ExxonMobil - Price: 37136.066406     Price change: 2.579996% 
Shermin-Williams - Price: 45771.035156     Price change: 0.469999% 
Boeing - Price: 13809.215820     Price change: 0.810001% 
Duke Energy - Price: 35054.191406     Price change: 3.729998% 
UnitedHealth Group - Price: 46245.332031     Price change: 0.489998% 
JPMorgan Chase - Price: 30484.599609     Price change: -0.369997% 
McDonalds - Price: 65662.609375     Price change: 0.399996% 
Coca-Cola - Price: 47563.125000     Price change: 2.059999% 
Microsoft - Price: 30959.732422     Price change: 2.300000% 
AT&T - Price: 54964.078125     Price change: 0.940001% 
Day 627: 
ExxonMobil - Price: 36980.093750     Price change: -0.420003% 
Shermin-Williams - Price: 45848.847656     Price change: 0.170004% 
Boeing - Price: 13847.881836     Price change: 0.280002% 
Duke Energy - Price: 35460.820312     Price change: 1.160001% 
UnitedHealth Group - Price: 46476.558594     Price change: 0.500000% 
JPMorgan Chase - Price: 29432.880859     Price change: -3.450000% 
McDonalds - Price: 67133.453125     Price change: 2.240002% 
Coca-Cola - Price: 50512.039062     Price change: 6.200001% 
Microsoft - Price: 31823.509766     Price change: 2.790003% 
AT&T - Price: 56634.984375     Price change: 3.039997% 
Day 628: 
ExxonMobil - Price: 37360.988281     Price change: 1.029999% 
Shermin-Williams - Price: 46614.523438     Price change: 1.670000% 
Boeing - Price: 13935.123047     Price change: 0.629997% 
Duke Energy - Price: 36765.777344     Price change: 3.679997% 
UnitedHealth Group - Price: 46239.527344     Price change: -0.510002% 
JPMorgan Chase - Price: 29859.658203     Price change: 1.450002% 
McDonalds - Price: 68133.742188     Price change: 1.490001% 
Coca-Cola - Price: 51027.261719     Price change: 1.020000% 
Microsoft - Price: 33096.449219     Price change: 3.999997% 
AT&T - Price: 57563.796875     Price change: 1.639998% 
Day 629: 
ExxonMobil - Price: 37824.265625     Price change: 1.240003% 
Shermin-Williams - Price: 46437.386719     Price change: -0.380003% 
Boeing - Price: 13969.960938     Price change: 0.250001% 
Duke Energy - Price: 36607.683594     Price change: -0.430002% 
UnitedHealth Group - Price: 46604.820312     Price change: 0.790002% 
JPMorgan Chase - Price: 30271.720703     Price change: 1.379997% 
McDonalds - Price: 68365.398438     Price change: 0.340002% 
Coca-Cola - Price: 52200.890625     Price change: 2.300004% 
Microsoft - Price: 33702.113281     Price change: 1.829997% 
AT&T - Price: 57229.925781     Price change: -0.580002% 
Day 630: 
ExxonMobil - Price: 37691.878906     Price change: -0.350005% 
Shermin-Williams - Price: 47324.339844     Price change: 1.909998% 
Boeing - Price: 13972.754883     Price change: 0.020000% 
Duke Energy - Price: 37134.835938     Price change: 1.440005% 
UnitedHealth Group - Price: 46451.023438     Price change: -0.330002% 
JPMorgan Chase - Price: 30283.830078     Price change: 0.040002% 
McDonalds - Price: 69589.140625     Price change: 1.790002% 
Coca-Cola - Price: 51135.992188     Price change: -2.040001% 
Microsoft - Price: 33702.113281     Price change: 0.000000% 
AT&T - Price: 61585.125000     Price change: 7.610003% 
Day 631: 
ExxonMobil - Price: 38521.101562     Price change: 2.200004% 
Shermin-Williams - Price: 48341.812500     Price change: 2.149999% 
Boeing - Price: 13985.330078     Price change: 0.089998% 
Duke Energy - Price: 37324.222656     Price change: 0.509997% 
UnitedHealth Group - Price: 47361.464844     Price change: 1.960003% 
JPMorgan Chase - Price: 30819.853516     Price change: 1.769999% 
McDonalds - Price: 69477.796875     Price change: -0.160002% 
Coca-Cola - Price: 51279.171875     Price change: 0.279998% 
Microsoft - Price: 33587.527344     Price change: -0.339996% 
AT&T - Price: 63069.328125     Price change: 2.410003% 
Day 632: 
ExxonMobil - Price: 40770.734375     Price change: 5.840001% 
Shermin-Williams - Price: 47998.585938     Price change: -0.709999% 
Boeing - Price: 14214.689453     Price change: 1.640000% 
Duke Energy - Price: 37025.628906     Price change: -0.800000% 
UnitedHealth Group - Price: 48933.867188     Price change: 3.320004% 
JPMorgan Chase - Price: 31587.267578     Price change: 2.489999% 
McDonalds - Price: 71457.914062     Price change: 2.850000% 
Coca-Cola - Price: 51576.589844     Price change: 0.579998% 
Microsoft - Price: 33792.410156     Price change: 0.609997% 
AT&T - Price: 63006.257812     Price change: -0.100002% 
Day 633: 
ExxonMobil - Price: 41202.902344     Price change: 1.059996% 
Shermin-Williams - Price: 48113.781250     Price change: 0.239997% 
Boeing - Price: 14271.547852     Price change: 0.399997% 
Duke Energy - Price: 36392.492188     Price change: -1.709996% 
UnitedHealth Group - Price: 48586.437500     Price change: -0.709998% 
JPMorgan Chase - Price: 32038.964844     Price change: 1.429998% 
McDonalds - Price: 74094.710938     Price change: 3.690000% 
Coca-Cola - Price: 51210.394531     Price change: -0.710003% 
Microsoft - Price: 33626.828125     Price change: -0.489998% 
AT&T - Price: 63346.492188     Price change: 0.540001% 
Day 634: 
ExxonMobil - Price: 41755.019531     Price change: 1.339996% 
Shermin-Williams - Price: 48301.425781     Price change: 0.390002% 
Boeing - Price: 14298.664062     Price change: 0.190002% 
Duke Energy - Price: 36454.359375     Price change: 0.170000% 
UnitedHealth Group - Price: 49839.968750     Price change: 2.580002% 
JPMorgan Chase - Price: 31856.341797     Price change: -0.570003% 
McDonalds - Price: 74294.765625     Price change: 0.269999% 
Coca-Cola - Price: 51753.226562     Price change: 1.060004% 
Microsoft - Price: 33865.578125     Price change: 0.709999% 
AT&T - Price: 65734.656250     Price change: 3.770002% 
Day 635: 
ExxonMobil - Price: 42001.375000     Price change: 0.590002% 
Shermin-Williams - Price: 51518.300781     Price change: 6.660000% 
Boeing - Price: 14650.411133     Price change: 2.460000% 
Duke Energy - Price: 36880.875000     Price change: 1.169999% 
UnitedHealth Group - Price: 50577.601562     Price change: 1.480003% 
JPMorgan Chase - Price: 31971.025391     Price change: 0.360002% 
McDonalds - Price: 75981.257812     Price change: 2.270001% 
Coca-Cola - Price: 51784.277344     Price change: 0.059998% 
Microsoft - Price: 33946.855469     Price change: 0.240000% 
AT&T - Price: 69889.085938     Price change: 6.319999% 
Day 636: 
ExxonMobil - Price: 42131.578125     Price change: 0.309997% 
Shermin-Williams - Price: 50230.343750     Price change: -2.499999% 
Boeing - Price: 14934.628906     Price change: 1.939999% 
Duke Energy - Price: 36799.738281     Price change: -0.219997% 
UnitedHealth Group - Price: 50800.144531     Price change: 0.440003% 
JPMorgan Chase - Price: 31708.863281     Price change: -0.819999% 
McDonalds - Price: 77326.125000     Price change: 1.769999% 
Coca-Cola - Price: 52483.363281     Price change: 1.349997% 
Microsoft - Price: 34568.082031     Price change: 1.829997% 
AT&T - Price: 72516.914062     Price change: 3.759998% 
Day 637: 
ExxonMobil - Price: 43719.937500     Price change: 3.769997% 
Shermin-Williams - Price: 50315.734375     Price change: 0.169998% 
Boeing - Price: 15291.566406     Price change: 2.389999% 
Duke Energy - Price: 37546.773438     Price change: 2.030001% 
UnitedHealth Group - Price: 50795.066406     Price change: -0.009996% 
JPMorgan Chase - Price: 32181.326172     Price change: 1.490003% 
McDonalds - Price: 77032.289062     Price change: -0.379996% 
Coca-Cola - Price: 52173.710938     Price change: -0.590001% 
Microsoft - Price: 34758.207031     Price change: 0.550002% 
AT&T - Price: 72705.460938     Price change: 0.260004% 
Day 638: 
ExxonMobil - Price: 43615.007812     Price change: -0.240004% 
Shermin-Williams - Price: 51860.425781     Price change: 3.069997% 
Boeing - Price: 15187.583984     Price change: -0.679998% 
Duke Energy - Price: 37666.921875     Price change: 0.319997% 
UnitedHealth Group - Price: 50795.066406     Price change: 0.000000% 
JPMorgan Chase - Price: 33307.671875     Price change: 3.499998% 
McDonalds - Price: 75676.523438     Price change: -1.759997% 
Coca-Cola - Price: 54182.398438     Price change: 3.849999% 
Microsoft - Price: 34907.667969     Price change: 0.430002% 
AT&T - Price: 72923.578125     Price change: 0.300001% 
Day 639: 
ExxonMobil - Price: 43300.980469     Price change: -0.719998% 
Shermin-Williams - Price: 51984.890625     Price change: 0.240000% 
Boeing - Price: 15306.046875     Price change: 0.779998% 
Duke Energy - Price: 39546.500000     Price change: 4.989997% 
UnitedHealth Group - Price: 50480.136719     Price change: -0.620001% 
JPMorgan Chase - Price: 34763.218750     Price change: 4.370005% 
McDonalds - Price: 77742.492188     Price change: 2.730000% 
Coca-Cola - Price: 54307.019531     Price change: 0.230003% 
Microsoft - Price: 35228.820312     Price change: 0.920005% 
AT&T - Price: 73098.593750     Price change: 0.239999% 
Day 640: 
ExxonMobil - Price: 43591.097656     Price change: 0.670001% 
Shermin-Williams - Price: 51595.003906     Price change: -0.750000% 
Boeing - Price: 15449.923828     Price change: 0.940001% 
Duke Energy - Price: 39775.871094     Price change: 0.580004% 
UnitedHealth Group - Price: 51504.882812     Price change: 2.029999% 
JPMorgan Chase - Price: 35051.753906     Price change: 0.830001% 
McDonalds - Price: 78667.625000     Price change: 1.189996% 
Coca-Cola - Price: 54171.253906     Price change: -0.249996% 
Microsoft - Price: 34964.605469     Price change: -0.749996% 
AT&T - Price: 74078.117188     Price change: 1.340003% 
Day 641: 
ExxonMobil - Price: 43608.535156     Price change: 0.040002% 
Shermin-Williams - Price: 54076.722656     Price change: 4.809998% 
Boeing - Price: 15482.369141     Price change: 0.210003% 
Duke Energy - Price: 40312.843750     Price change: 1.349996% 
UnitedHealth Group - Price: 51046.488281     Price change: -0.890002% 
JPMorgan Chase - Price: 34732.781250     Price change: -0.910005% 
McDonalds - Price: 80130.843750     Price change: 1.860001% 
Coca-Cola - Price: 53743.300781     Price change: -0.790000% 
Microsoft - Price: 35649.910156     Price change: 1.959995% 
AT&T - Price: 73878.109375     Price change: -0.269996% 
Day 642: 
ExxonMobil - Price: 43918.156250     Price change: 0.710001% 
Shermin-Williams - Price: 53990.199219     Price change: -0.160001% 
Boeing - Price: 15505.592773     Price change: 0.150001% 
Duke Energy - Price: 41276.320312     Price change: 2.389999% 
UnitedHealth Group - Price: 50724.894531     Price change: -0.630002% 
JPMorgan Chase - Price: 34927.285156     Price change: 0.560001% 
McDonalds - Price: 79730.187500     Price change: -0.500003% 
Coca-Cola - Price: 54124.878906     Price change: 0.710001% 
Microsoft - Price: 35985.019531     Price change: 0.940001% 
AT&T - Price: 73789.453125     Price change: -0.120003% 
Day 643: 
ExxonMobil - Price: 43553.636719     Price change: -0.829997% 
Shermin-Williams - Price: 54184.562500     Price change: 0.359997% 
Boeing - Price: 15944.401367     Price change: 2.830002% 
Duke Energy - Price: 41437.296875     Price change: 0.389997% 
UnitedHealth Group - Price: 51176.347656     Price change: 0.890003% 
JPMorgan Chase - Price: 35566.453125     Price change: 1.829996% 
McDonalds - Price: 83461.562500     Price change: 4.680003% 
Coca-Cola - Price: 54682.363281     Price change: 1.029997% 
Microsoft - Price: 36265.703125     Price change: 0.780001% 
AT&T - Price: 74357.632812     Price change: 0.770001% 
Day 644: 
ExxonMobil - Price: 43645.097656     Price change: 0.209996% 
Shermin-Williams - Price: 53149.636719     Price change: -1.910001% 
Boeing - Price: 16382.872070     Price change: 2.749998% 
Duke Energy - Price: 40583.687500     Price change: -2.060003% 
UnitedHealth Group - Price: 51370.816406     Price change: 0.379997% 
JPMorgan Chase - Price: 36021.703125     Price change: 1.279998% 
McDonalds - Price: 83720.296875     Price change: 0.310004% 
Coca-Cola - Price: 54217.562500     Price change: -0.850001% 
Microsoft - Price: 36534.070312     Price change: 0.740003% 
AT&T - Price: 77309.632812     Price change: 3.970003% 
Day 645: 
ExxonMobil - Price: 44164.472656     Price change: 1.189996% 
Shermin-Williams - Price: 53835.265625     Price change: 1.289997% 
Boeing - Price: 16546.701172     Price change: 1.000002% 
Duke Energy - Price: 40486.285156     Price change: -0.240004% 
UnitedHealth Group - Price: 51262.937500     Price change: -0.210000% 
JPMorgan Chase - Price: 36191.003906     Price change: 0.469997% 
McDonalds - Price: 83201.234375     Price change: -0.619996% 
Coca-Cola - Price: 54342.261719     Price change: 0.229998% 
Microsoft - Price: 36683.859375     Price change: 0.409998% 
AT&T - Price: 80309.250000     Price change: 3.880004% 
Day 646: 
ExxonMobil - Price: 45043.343750     Price change: 1.989996% 
Shermin-Williams - Price: 55660.281250     Price change: 3.390000% 
Boeing - Price: 15772.315430     Price change: -4.680001% 
Duke Energy - Price: 40874.953125     Price change: 0.959999% 
UnitedHealth Group - Price: 51334.707031     Price change: 0.140003% 
JPMorgan Chase - Price: 36288.718750     Price change: 0.269998% 
McDonalds - Price: 82993.234375     Price change: -0.249996% 
Coca-Cola - Price: 53934.695312     Price change: -0.749999% 
Microsoft - Price: 37021.351562     Price change: 0.920002% 
AT&T - Price: 80357.437500     Price change: 0.060002% 
Day 647: 
ExxonMobil - Price: 45070.371094     Price change: 0.060003% 
Shermin-Williams - Price: 58309.710938     Price change: 4.760001% 
Boeing - Price: 15636.673828     Price change: -0.859998% 
Duke Energy - Price: 40314.964844     Price change: -1.370003% 
UnitedHealth Group - Price: 51421.976562     Price change: 0.170001% 
JPMorgan Chase - Price: 36963.687500     Price change: 1.859996% 
McDonalds - Price: 84810.789062     Price change: 2.190003% 
Coca-Cola - Price: 55007.996094     Price change: 1.990001% 
Microsoft - Price: 37336.031250     Price change: 0.849995% 
AT&T - Price: 78059.210938     Price change: -2.860005% 
Day 648: 
ExxonMobil - Price: 45259.667969     Price change: 0.420003% 
Shermin-Williams - Price: 58519.625000     Price change: 0.359998% 
Boeing - Price: 15481.871094     Price change: -0.989998% 
Duke Energy - Price: 40895.500000     Price change: 1.439999% 
UnitedHealth Group - Price: 52280.722656     Price change: 1.669998% 
JPMorgan Chase - Price: 37592.070312     Price change: 1.700000% 
McDonalds - Price: 85285.726562     Price change: 0.559997% 
Coca-Cola - Price: 57598.871094     Price change: 4.709997% 
Microsoft - Price: 36955.203125     Price change: -1.020002% 
AT&T - Price: 78660.265625     Price change: 0.769998% 
Day 649: 
ExxonMobil - Price: 45662.480469     Price change: 0.890003% 
Shermin-Williams - Price: 61662.128906     Price change: 5.370000% 
Boeing - Price: 15782.219727     Price change: 1.940002% 
Duke Energy - Price: 40744.187500     Price change: -0.369998% 
UnitedHealth Group - Price: 53514.546875     Price change: 2.359998% 
JPMorgan Chase - Price: 37719.882812     Price change: 0.339999% 
McDonalds - Price: 87596.968750     Price change: 2.709999% 
Coca-Cola - Price: 56441.132812     Price change: -2.010002% 
Microsoft - Price: 36718.691406     Price change: -0.639996% 
AT&T - Price: 77645.546875     Price change: -1.290002% 
Day 650: 
ExxonMobil - Price: 45420.468750     Price change: -0.530001% 
Shermin-Williams - Price: 63696.980469     Price change: 3.300002% 
Boeing - Price: 15925.837891     Price change: 0.910000% 
Duke Energy - Price: 41876.875000     Price change: 2.779998% 
UnitedHealth Group - Price: 54793.542969     Price change: 2.389997% 
JPMorgan Chase - Price: 37003.203125     Price change: -1.900005% 
McDonalds - Price: 87342.937500     Price change: -0.290000% 
Coca-Cola - Price: 56937.816406     Price change: 0.880003% 
Microsoft - Price: 38506.890625     Price change: 4.869997% 
AT&T - Price: 77241.789062     Price change: -0.520001% 
Day 651: 
ExxonMobil - Price: 45116.152344     Price change: -0.669998% 
Shermin-Williams - Price: 64040.945312     Price change: 0.540002% 
Boeing - Price: 16252.317383     Price change: 2.049999% 
Duke Energy - Price: 42220.265625     Price change: 0.820001% 
UnitedHealth Group - Price: 56711.316406     Price change: 3.499999% 
JPMorgan Chase - Price: 39582.328125     Price change: 6.970005% 
McDonalds - Price: 89945.757812     Price change: 2.980001% 
Coca-Cola - Price: 57803.269531     Price change: 1.519997% 
Microsoft - Price: 38044.808594     Price change: -1.199998% 
AT&T - Price: 77110.476562     Price change: -0.170002% 
Day 652: 
ExxonMobil - Price: 45522.199219     Price change: 0.900003% 
Shermin-Williams - Price: 65007.964844     Price change: 1.510002% 
Boeing - Price: 16401.837891     Price change: 0.919995% 
Duke Energy - Price: 42773.351562     Price change: 1.310001% 
UnitedHealth Group - Price: 57250.074219     Price change: 0.950001% 
JPMorgan Chase - Price: 40595.636719     Price change: 2.560003% 
McDonalds - Price: 89639.945312     Price change: -0.339997% 
Coca-Cola - Price: 57439.109375     Price change: -0.629999% 
Microsoft - Price: 38105.679688     Price change: 0.159998% 
AT&T - Price: 77233.851562     Price change: 0.159998% 
Day 653: 
ExxonMobil - Price: 45649.660156     Price change: 0.279997% 
Shermin-Williams - Price: 66405.632812     Price change: 2.149995% 
Boeing - Price: 16475.646484     Price change: 0.450002% 
Duke Energy - Price: 42858.898438     Price change: 0.200000% 
UnitedHealth Group - Price: 56689.023438     Price change: -0.980000% 
JPMorgan Chase - Price: 40388.597656     Price change: -0.510003% 
McDonalds - Price: 92302.250000     Price change: 2.969998% 
Coca-Cola - Price: 57473.574219     Price change: 0.060002% 
Microsoft - Price: 38837.308594     Price change: 1.920000% 
AT&T - Price: 78940.718750     Price change: 2.209999% 
Day 654: 
ExxonMobil - Price: 45284.460938     Price change: -0.800004% 
Shermin-Williams - Price: 66538.445312     Price change: 0.200002% 
Boeing - Price: 16376.792969     Price change: -0.599998% 
Duke Energy - Price: 43326.058594     Price change: 1.089996% 
UnitedHealth Group - Price: 57148.203125     Price change: 0.809998% 
JPMorgan Chase - Price: 42307.054688     Price change: 4.749997% 
McDonalds - Price: 94074.453125     Price change: 1.920000% 
Coca-Cola - Price: 57979.339844     Price change: 0.879997% 
Microsoft - Price: 38891.679688     Price change: 0.139997% 
AT&T - Price: 81048.437500     Price change: 2.670002% 
Day 655: 
ExxonMobil - Price: 46022.597656     Price change: 1.630000% 
Shermin-Williams - Price: 66944.328125     Price change: 0.609997% 
Boeing - Price: 16249.053711     Price change: -0.780002% 
Duke Energy - Price: 43560.019531     Price change: 0.540001% 
UnitedHealth Group - Price: 58908.367188     Price change: 3.079999% 
JPMorgan Chase - Price: 44024.722656     Price change: 4.060004% 
McDonalds - Price: 93180.742188     Price change: -0.950004% 
Coca-Cola - Price: 58947.593750     Price change: 1.669998% 
Microsoft - Price: 39230.039062     Price change: 0.870005% 
AT&T - Price: 80246.054688     Price change: -0.990004% 
Day 656: 
ExxonMobil - Price: 46735.949219     Price change: 1.550003% 
Shermin-Williams - Price: 67814.601562     Price change: 1.299996% 
Boeing - Price: 16448.917969     Price change: 1.230006% 
Duke Energy - Price: 43943.347656     Price change: 0.880000% 
UnitedHealth Group - Price: 59085.093750     Price change: 0.300002% 
JPMorgan Chase - Price: 44491.382812     Price change: 1.059996% 
McDonalds - Price: 94830.039062     Price change: 1.769998% 
Coca-Cola - Price: 60468.441406     Price change: 2.580000% 
Microsoft - Price: 40167.636719     Price change: 2.389999% 
AT&T - Price: 80767.656250     Price change: 0.650003% 
Day 657: 
ExxonMobil - Price: 46450.859375     Price change: -0.610001% 
Shermin-Williams - Price: 68363.898438     Price change: 0.809998% 
Boeing - Price: 16529.517578     Price change: 0.489999% 
Duke Energy - Price: 44334.445312     Price change: 0.890004% 
UnitedHealth Group - Price: 60721.750000     Price change: 2.769999% 
JPMorgan Chase - Price: 46079.726562     Price change: 3.570003% 
McDonalds - Price: 94099.851562     Price change: -0.769996% 
Coca-Cola - Price: 61260.578125     Price change: 1.310000% 
Microsoft - Price: 39802.109375     Price change: -0.910005% 
AT&T - Price: 80638.429688     Price change: -0.159998% 
Day 658: 
ExxonMobil - Price: 47286.976562     Price change: 1.800004% 
Shermin-Williams - Price: 68616.843750     Price change: 0.369998% 
Boeing - Price: 16797.294922     Price change: 1.619995% 
Duke Energy - Price: 43252.683594     Price change: -2.440003% 
UnitedHealth Group - Price: 61080.007812     Price change: 0.589999% 
JPMorgan Chase - Price: 47250.152344     Price change: 2.540002% 
McDonalds - Price: 98776.617188     Price change: 4.970003% 
Coca-Cola - Price: 61548.503906     Price change: 0.470002% 
Microsoft - Price: 40944.429688     Price change: 2.869999% 
AT&T - Price: 81727.046875     Price change: 1.349998% 
Day 659: 
ExxonMobil - Price: 48379.304688     Price change: 2.309998% 
Shermin-Williams - Price: 68266.898438     Price change: -0.509999% 
Boeing - Price: 17106.365234     Price change: 1.840001% 
Duke Energy - Price: 43049.394531     Price change: -0.470003% 
UnitedHealth Group - Price: 62942.949219     Price change: 3.050002% 
JPMorgan Chase - Price: 47897.480469     Price change: 1.370002% 
McDonalds - Price: 99092.703125     Price change: 0.320001% 
Coca-Cola - Price: 62127.058594     Price change: 0.939998% 
Microsoft - Price: 40817.503906     Price change: -0.309995% 
AT&T - Price: 82119.335938     Price change: 0.479999% 
Day 660: 
ExxonMobil - Price: 48742.148438     Price change: 0.749998% 
Shermin-Williams - Price: 68833.515625     Price change: 0.830003% 
Boeing - Price: 17347.564453     Price change: 1.409997% 
Duke Energy - Price: 43355.046875     Price change: 0.710004% 
UnitedHealth Group - Price: 58020.812500     Price change: -7.819997% 
JPMorgan Chase - Price: 47887.902344     Price change: -0.019997% 
McDonalds - Price: 102095.210938     Price change: 3.029999% 
Coca-Cola - Price: 61561.703125     Price change: -0.909999% 
Microsoft - Price: 42793.070312     Price change: 4.839998% 
AT&T - Price: 82398.539062     Price change: 0.339997% 
Day 661: 
ExxonMobil - Price: 48995.609375     Price change: 0.520004% 
Shermin-Williams - Price: 68324.148438     Price change: -0.739999% 
Boeing - Price: 17600.839844     Price change: 1.460005% 
Duke Energy - Price: 43918.664062     Price change: 1.300004% 
UnitedHealth Group - Price: 57869.957031     Price change: -0.260002% 
JPMorgan Chase - Price: 48366.781250     Price change: 1.000000% 
McDonalds - Price: 101411.171875     Price change: -0.670001% 
Coca-Cola - Price: 62632.875000     Price change: 1.739997% 
Microsoft - Price: 42848.703125     Price change: 0.130004% 
AT&T - Price: 84112.429688     Price change: 2.080001% 
Day 662: 
ExxonMobil - Price: 47545.339844     Price change: -2.959999% 
Shermin-Williams - Price: 68549.617188     Price change: 0.329999% 
Boeing - Price: 17440.671875     Price change: -0.910002% 
Duke Energy - Price: 45003.453125     Price change: 2.469996% 
UnitedHealth Group - Price: 58500.738281     Price change: 1.089998% 
JPMorgan Chase - Price: 49019.734375     Price change: 1.350003% 
McDonalds - Price: 102962.765625     Price change: 1.530003% 
Coca-Cola - Price: 62614.085938     Price change: -0.029999% 
Microsoft - Price: 43217.203125     Price change: 0.860003% 
AT&T - Price: 88469.453125     Price change: 5.180000% 
Day 663: 
ExxonMobil - Price: 49722.917969     Price change: 4.580003% 
Shermin-Williams - Price: 68981.476562     Price change: 0.629995% 
Boeing - Price: 17268.009766     Price change: -0.989997% 
Duke Energy - Price: 45322.976562     Price change: 0.709998% 
UnitedHealth Group - Price: 58120.484375     Price change: -0.649998% 
JPMorgan Chase - Price: 51951.113281     Price change: 5.979998% 
McDonalds - Price: 101325.656250     Price change: -1.590001% 
Coca-Cola - Price: 63553.296875     Price change: 1.499999% 
Microsoft - Price: 43986.468750     Price change: 1.779999% 
AT&T - Price: 94626.929688     Price change: 6.960003% 
Day 664: 
ExxonMobil - Price: 49618.500000     Price change: -0.210000% 
Shermin-Williams - Price: 68291.664062     Price change: -0.999997% 
